First Author,Species,Year,Experiment Type,Starting Cell Type,Target Cell Type,GEO ID,Platform Name,Platform GEO,references/ PMID
Muratore,Homo sapiens,2014,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 24524897
Kondo,Homo sapiens,2013,Reprogram,Fibroblast,"Neurons, Astrocytes",GSE43326,HuGene-1_0-st,GPL6244,PMID: 23434393
Tagi,Homo sapiens,2011,Reprogram,Fibroblast,Neurons,GSE28450,Agilent-022060,GPL10123,PMID: 21900357
Sproul,Homo sapiens,2014,Reprogram,Fibroblast,NSCs, -, -, -,PMID: 24416243
Koch,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22510327
Isreal,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22278060
Schondorf,Homo sapiens,2014,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 24905578
Liu,Homo sapiens,2012,Reprogram,Fibroblast,NSCs,GSE34061,HiSeq 2000,GPL11154,PMID: 23075850
Nguyen ,Homo sapiens,2011,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 21362567
Reinhardt,Homo sapiens,2013,Reprogram,Fibroblast,Neurons,GSE43364,illumina HumanHT-12 v4,GPL10558,PMID: 23472874
Sanders,Homo sapiens,2013,Reprogram,Fibroblast,NSCs, -, -, -,PMID: 24148854
Sánchez-Danés,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22407749
Cooper,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22764206
Reyes,Homo sapiens,2014,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 25046995
Byers,Homo sapiens,2011,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22110584
Devine,Homo sapiens,2011,Reprogram,Fibroblast,Neurons,GSE28366.,HumanOmni1-Quad ,GPL8882, PMID: 21863007
Chung,Homo sapiens,2013,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 24158904
Ryan,Homo sapiens,2013,Reprogram,Fibroblast,Neurons,GSE46798,Illumina HumanHT-12 v4,GPL10558,PMID: 24290359
Jiang,Homo sapiens,2012,Reprogram,Fibroblast,Neurons,GSE35190,RPCI Human HB21K,GPL15098,PMID: 22314364
Imaizumi,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 23039195
Rakovic,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 23212910
Seibler,Homo sapiens,2011,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 21508222
Xia,Homo sapiens,2013,Reprogram,Fibroblast,"Neurons, NSCs, Astrocytes, iPSCs", -, -, -,PMID: 23550732
Corti,Homo sapiens,2012,Reprogram,Fibroblast,Neurons,GSE27206,HG-U133_Plus_2,GPL570,PMID: 23253609
Chang,Homo sapiens,2011,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 21956898
Ebert,Homo sapiens,2009,Reprogram,Fibroblast,"Neurons, Astrocytes",GSE13828,HG-U133_Plus_2,GPL570 ,PMID: 19098894
Sareen,Homo sapiens,2012,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 22723941
Lafaille,Homo sapiens,2012,Reprogram,Fibroblast,"Neurons, NSCs, Astrocytes, Oligodendrocytes",GSE40593,Illumina HumanWG-6 v3.0,GPL6884,PMID: 23103873
Ananiev,Homo sapiens,2011,Reprogram,Fibroblast,Neurons, -, -, -,PMID: 21966470
